NO,Name,DateCreatedYear,DateEstablishedYear,ArticleFrequency,Note( I select some mesh term to find why their frequency is 0 ),
D000067030,Fruit and Vegetable Juices,2015,2016,234,,
D000067048,Ghee,2015,2016,5,,
D000067071,Hydraulic Fracking,2015,2016,38,,
D000067073,Psychological Trauma,2015,2016,179,,
D000067074,Peer Influence,2015,2016,100,,
D000067075,Vegetable Products,2015,2016,11,,
D000067088,Direct-to-Consumer Advertising,2015,2016,45,,
D000067108,Direct-To-Consumer Screening and Testing,2015,2016,35,,
D000067128,Extracellular Vesicles,2015,2016,258,,
D000067148,Fungal Viruses,2015,2016,18,,
D000067170,Telocytes,2015,2016,26,,
D000067190,Exoskeleton Device,2015,2016,56,,
D000067208,Shellfish Hypersensitivity,2015,2016,9,,
D000067248,"Failure to Rescue, Health Care",2015,2016,16,,
D000067250,Psychiatric Rehabilitation,2015,2016,75,,
D000067251,Symptom Flare Up,2015,2016,39,,
D000067268,Isolated Heart Preparation,2015,2016,59,,
D000067269,"Diet, Vegan",2015,2016,30,,
D000067289,Behavior Observation Techniques,2015,2016,36,,
D000067290,Behavior Rating Scale,2015,2016,81,,
D000067292,Alcohol Drinking in College,2015,2016,132,,
D000067329,"Obesity, Metabolically Benign",2015,2016,27,,
D000067348,Whole Grains,2015,2016,92,,
D000067368,Transanal Endoscopic Surgery,2015,2016,52,,
D000067369,Transanal Endoscopic Microsurgery,2015,2016,33,,
D000067390,Cold Injury,2015,2016,7,,
D000067393,Personal Protective Equipment,2015,2016,89,,
D000067397,Nerve Agents,2015,2016,27,,
D000067398,War-Related Injuries,2015,2016,97,,
D000067399,Abnormal Involuntary Movement Scale,2015,2016,0,New Introduced,
D000067401,Blood Alcohol Content,2015,2016,64,,
D000067404,Social Communication Disorder,2015,2016,24,,
D000067408,Legal Services,2015,2016,8,,
D000067448,Defamation,2015,2016,9,,
D000067449,Anger Management Therapy,2015,2016,9,,
D000067450,"Psychology, Sports",2015,2016,10,,
D000067453,War Exposure,2015,2016,56,,
D000067454,Childhood-Onset Fluency Disorder,2015,2016,1,,
D000067455,No-Show Patients,2015,2016,24,,
D000067470,Cellular Reprogramming Techniques,2015,2016,134,,
D000067489,Metacognition,2015,2016,134,,
D000067490,Prescription Drug Overuse,2015,2016,65,,
D000067491,"Near Miss, Healthcare",2015,2016,28,,
D000067492,RNAi Therapeutics,2015,2016,142,,
D000067493,Dynamic Light Scattering,2015,2016,280,,
D000067494,"Time Out, Healthcare",2015,2016,6,,
D000067495,Healthcare Failure Mode and Effect Analysis,2015,2016,19,,
D000067496,Spirit Possession,2015,2016,6,,
D000067498,"Crew Resource Management, Healthcare",2015,2016,6,,
D000067508,Computer Heuristics,2015,2016,6,,
D000067528,Ataxins,2015,2016,647,,
D000067531,Alarmins,2015,2016,23,,
D000067548,Dermal Fillers,2015,2016,140,,
D000067549,Action Spectrum,2015,2016,1,,
D000067551,Diplomacy,2015,2016,19,,
D000067552,Mutation Accumulation,2015,2016,15,,
D000067556,Internal Ribosome Entry Sites,2015,2016,70,,
D000067558,Biological Mimicry,2015,2016,36,,
D000067559,Specific Learning Disorder,2015,2016,7,,
D000067561,Potentially Inappropriate Medication List,2015,2016,60,,
D000067562,Late Onset Disorders,2015,2016,72,,
D000067563,Phakopsora pachyrhizi,2015,2016,9,,
D000067565,Farmers,2015,2016,253,,
D000067568,Culturally Appropriate Technology,2015,2016,0,New Introduced,
D000067570,Social Learning,2015,2016,75,,
D000067571,Financial Statements,2015,2016,15,,
D000067572,Miners,2015,2016,40,,
D000067573,Chronopharmacokinetics,2015,2016,2,,
D000067575,"Administrative Claims, Healthcare",2015,2016,39,,
D000067576,Child Health,2015,2016,481,,
D000067596,Interleukin-33,2015,2016,897,,
D000067616,S100A12 Protein,2015,2016,224,,
D000067617,Telopodes,2015,2016,5,,
D000067636,Drosophila simulans,2015,2016,16,,
D000067656,Optimism,2015,2016,112,,
D000067657,Pessimism,2015,2016,19,,
D000067696,Ataxin-1,2015,2016,419,,
D000067697,Adolescent Health,2015,2016,209,,
D000067698,Ataxin-2,2015,2016,19,,
D000067699,Ataxin-3,2015,2016,484,,
D000067716,Point-of-Care Testing,2015,2016,294,,
D000067719,Ataxin-7,2015,2016,172,,
D000067736,Ataxin-10,2015,2016,44,,
D000067756,Glucagon-Like Peptide Receptors,2015,2016,1,,
D000067757,Glucagon-Like Peptide-1 Receptor,2015,2016,1704,,
D000067758,Glucagon-Like Peptide-2 Receptor,2015,2016,67,,
D000067759,Advanced Glycosylation End Product-Specific Receptor,2015,2016,2750,,
D000067776,RNA Recognition Motif Proteins,2015,2016,11,,
D000067777,ELAV-Like Protein 2,2015,2016,50,,
D000067778,ELAV-Like Protein 3,2015,2016,66,,
D000067779,ELAV-Like Protein 4,2015,2016,128,,
D000067780,ELAV-Like Protein 1,2015,2016,501,,
D000067796,Whey,2015,2016,104,,
D000067816,Whey Proteins,2015,2016,2299,,
D000067836,Hoarding Disorder,2015,2016,149,,
D000067856,Poly(ADP-ribose) Polymerase Inhibitors,2015,2016,2574,,
D000067877,Autism Spectrum Disorder,2015,2016,1526,,
D000067878,CELF Proteins,2015,2016,73,,
D000067879,CELF1 Protein,2015,2016,151,,
D000067896,Industrial Development,2015,2016,30,,
D000067917,Cloud Computing,2015,2016,96,,
D000067936,Natural Resources,2015,2016,52,,
D000067940,Glycemic Load,2015,2016,50,,
D000067956,Adenylyl Cyclase Inhibitors,2015,2016,2832,,
D000067996,RAW 264.7 Cells,2015,2016,532,,
D000068,Accreditation,1999,1966,12455,,
D000068016,Clostridiales,2015,2016,63,,
D000068036,Graphic Novels,2015,2016,0,New Introduced,
D000068037,South Sudan,2015,2016,30,,
D000068079,Motor Disorders,2015,2016,80,,
D000068097,Maternal Health,2015,2016,269,,
D000068098,Seed Bank,2015,2016,38,,
D000068099,Trauma and Stressor Related Disorders,2015,2016,10,,
D000068101,Maternal-Child Health Services,2015,2016,135,,
D000068103,Serine-Arginine Splicing Factors,2015,2016,1056,,
D000068104,Infant Health,2015,2016,144,,
D000068105,Bipolar and Related Disorders,2015,2016,4,,
D000068116,Gender Dysphoria,2015,2016,62,,
D000068156,Formative Feedback,2015,2016,163,,
D000068180,Aripiprazole,2015,2016,1817,,
D000068181,Prunus dulcis,2015,2016,61,,
D000068196,Albumin-Bound Paclitaxel,2015,2016,150,,
D000068216,Child Protective Services,2015,2016,88,,
D000068217,Social Workers,2015,2016,80,,
D000068218,Prunus africana,2015,2016,45,,
D000068219,Prunus armeniaca,2015,2016,14,,
D000068220,Prunus avium,2015,2016,39,,
D000068236,Refugium,2015,2016,34,,
D000068237,Distance Counseling,2015,2016,12,,
D000068238,Lubiprostone,2015,2016,138,,
D000068239,Prunus persica,2015,2016,86,,
D000068240,Data Anonymization,2015,2016,38,,
D000068241,Personally Identifiable Information,2015,2016,8,,
D000068242,Prunus domestica,2015,2016,33,,
D000068256,Darbepoetin alfa,2015,2016,953,,
D000068257,"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",2015,2016,52,,
D000068258,Bevacizumab,2015,2016,8419,,
D000068276,Giraffes,2015,2016,21,,
D000068296,Risedronate Sodium,2015,2016,1062,,
D000068297,"Fluticasone Propionate, Salmeterol Xinafoate Drug Combination",2015,2016,308,,
D000068298,Fluticasone,2015,2016,2497,,
D000068299,Salmeterol Xinafoate,2015,2016,1699,,
D000068316,"Parks, Recreational",2015,2016,189,,
D000068336,Warfare and Armed Conflicts,2015,2016,9,,
D000068337,Armed Conflicts,2015,2016,61,,
D000068338,Everolimus,2015,2016,3044,,
D000068342,"Aspirin, Dipyridamole Drug Combination",2015,2016,63,,
D000068356,Self-Control,2015,2016,417,,
D000068357,Saline Waters,2015,2016,54,,
D000068376,Compassion Fatigue,2015,2016,63,,
D000068377,Plantaginaceae,2015,2016,8,,
D000068378,Lamiales,2015,2016,19,,
D000068397,Clinical Study,2015,2016,0,New Introduced,
D000068436,Surgical Clearance,2015,2016,1,,
D000068437,Pemetrexed,2015,2016,1517,,
D000068438,Brimonidine Tartrate,2015,2016,1327,,
D000068456,Clinical Studies as Topic,2015,2016,84,,
D000068476,Beijing,2015,2016,501,,
D000068516,African Union,2015,2016,0,New Introduced,
D000068536,Firmicutes,2015,2016,148,,
D000068538,Dutasteride,2015,2016,461,,
D000068543,Calceolariaceae,2015,2016,1,,
D000068556,Interferon beta-1a,2015,2016,1353,,
D000068557,Olmesartan Medoxomil,2015,2016,369,,
D000068558,"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination",2015,2016,2,,
D000068576,Interferon beta-1b,2015,2016,914,,
D000068577,Nebivolol,2015,2016,684,,
D000068579,Celecoxib,2015,2016,3682,,
D000068580,Varenicline,2015,2016,959,,
D000068581,Tadalafil,2015,2016,1068,,
D000068582,Certolizumab Pegol,2015,2016,375,,
D000068597,"Censorship, Research",2015,2016,5,,
D000068598,Data Accuracy,2015,2016,344,,
D000068599,"Brimonidine Tartrate, Timolol Maleate Drug Combination",2015,2016,6,,
D000068600,"Albuterol, Ipratropium Drug Combination",2015,2016,20,,
D000068601,Dual Use Research,2015,2016,9,,
D000068616,Professionalism,2015,2016,165,,
D000068617,Genetic Background,2015,2016,42,,
D000068618,Selective Breeding,2015,2016,46,,
D000068636,Legendary Creatures,2015,2016,3,,
D000068656,Mometasone Furoate,2015,2016,614,,
D000068676,Fallopia multiflora,2015,2016,17,,
D000068677,Sildenafil Citrate,2015,2016,4661,,
D000068678,"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",2015,2016,11,,
D000068679,Emtricitabine,2015,2016,761,,
D000068696,Rilpivirine,2015,2016,198,,
D000068698,Tenofovir,2015,2016,2597,,
D000068717,Glatiramer Acetate,2015,2016,1106,,
D000068718,Rosuvastatin Calcium,2015,2016,1903,,
D000068736,Duloxetine Hydrochloride,2015,2016,1272,,
D000068737,Tolterodine Tartrate,2015,2016,599,,
D000068756,Valsartan,2015,2016,1910,,
D000068757,Ononis,2015,2016,4,,
D000068758,"Mometasone Furoate, Formoterol Fumarate Drug Combination",2015,2016,4,,
D000068759,Formoterol Fumarate,2015,2016,1435,,
D000068760,Serotonin and Noradrenaline Reuptake Inhibitors,2015,2016,80,,
D000068776,"Sleep Aids, Pharmaceutical",2015,2016,23,,
D000068796,Orexin Receptor Antagonists,2015,2016,156,,
D000068797,Orexins,2015,2016,2583,,
D000068798,Hoodia,2015,2016,0,New Introduced,
D000068799,Prasugrel Hydrochloride,2015,2016,917,,
D000068800,Etanercept,2015,2016,4761,,
D000068801,"Adapalene, Benzoyl Peroxide Drug Combination",2015,2016,0,New Introduced,
D000068816,Adapalene,2015,2016,306,,
D000068817,Epoetin Alfa,2015,2016,1696,,
D000068818,Cetuximab,2015,2016,3298,,
D000068819,Hyssopus Plant,2015,2016,1,,
D000068836,Rivastigmine,2015,2016,967,,
D000068837,Parmeliaceae,2015,2016,13,,
D000068838,"Amlodipine, Valsartan Drug Combination",2015,2016,41,,
D000068856,Eugenia,2015,2016,16,,
D000068857,"Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18",2015,2016,585,,
D000068858,Kombucha Tea,2015,2016,4,,
D000068876,Fingolimod Hydrochloride,2015,2016,1467,,
D000068877,Imatinib Mesylate,2015,2016,8613,,
D000068878,Trastuzumab,2015,2016,4871,,
D000068879,Adalimumab,2015,2016,3504,,
D000068880,"Isophane Insulin, Human",2015,2016,25,,
D000068881,"Animals, Exotic",2015,2016,33,,
D000068882,Paliperidone Palmitate,2015,2016,553,,
D000068884,Immunosenescence,2015,2016,58,,
D000068896,Canagliflozin,2015,2016,204,,
D000068897,Iridescence,2015,2016,2,,
D000068898,Raltegravir Potassium,2015,2016,844,,
D000068899,"Sitagliptin Phosphate, Metformin Hydrochloride Drug Combination",2015,2016,5,,
D000068900,Sitagliptin Phosphate,2015,2016,901,,
D000068916,Spatial Regression,2015,2016,15,,
D000068936,Theranostic Nanomedicine,2015,2016,297,,
D000068937,Cosmeceuticals,2015,2016,11,,
D000068956,Prisoner Dilemma,2015,2016,47,,
D000068957,"Games, Recreational",2015,2016,38,,
D000068958,Return to Sport,2015,2016,200,,
D000068959,Body Weight Maintenance,2015,2016,43,,
D000068977,Concierge Medicine,2015,2016,7,,
D000068997,Smartphone,2015,2016,598,,
D000068998,Humidifiers,2015,2016,17,,
D000069,Acculturation,1999,1966,5426,,
D000069036,Insulin Glargine,2015,2016,1354,,
D000069056,Lurasidone Hydrochloride,2015,2016,129,,
D000069057,Insulin Detemir,2015,2016,459,,
D000069058,Vardenafil Dihydrochloride,2015,2016,660,,
D000069059,Atorvastatin Calcium,2015,2016,5442,,
D000069076,"Fractures, Multiple",2015,2016,22,,
D000069077,Memory Consolidation,2015,2016,136,,
D000069078,Seroconversion,2015,2016,97,,
D000069079,Radiation Exposure,2015,2016,595,,
D000069098,Health Smart Cards,2015,2016,24,,
D000069177,Type I Secretion Systems,2015,2016,6,,
D000069178,Type II Secretion Systems,2015,2016,8,,
D000069196,Gastrointestinal Microbiome,2015,2016,1691,,
D000069216,Contraceptive Prevalence Surveys,2015,2016,7,,
D000069236,Pericardial Fluid,2015,2016,21,,
D000069237,Arthrocentesis,2015,2016,22,,
D000069258,Thoracentesis,2015,2016,54,,
D000069259,Superficial Musculoaponeurotic System,2015,2016,10,,
D000069261,Podosomes,2015,2016,54,,
D000069262,Plantar Plate,2015,2016,12,,
D000069263,Fallopia,2015,2016,3,,
D000069278,Arterial Switch Operation,2015,2016,44,,
D000069279,Drug Resistant Epilepsy,2015,2016,277,,
D000069280,Electrocorticography,2015,2016,165,,
D000069281,Autoimmune Hypophysitis,2015,2016,23,,
D000069282,Canaliculitis,2015,2016,31,,
D000069283,Rituximab,2015,2016,10311,,
D000069284,Protein Translocation Systems,2015,2016,10,,
D000069285,Infliximab,2015,2016,8043,,
D000069286,Bortezomib,2015,2016,4251,,
D000069287,Capecitabine,2015,2016,3321,,
D000069289,Parasite Encystment,2015,2016,7,,
D000069290,Incisional Hernia,2015,2016,95,,
D000069292,Pyroptosis,2015,2016,41,,
D000069293,Plasmablastic Lymphoma,2015,2016,26,,
D000069294,Twin-Arginine-Translocation System,2015,2016,9,,
D000069295,Mammary Analogue Secretory Carcinoma,2015,2016,11,,
D000069296,Type III Secretion Systems,2015,2016,128,,
D000069316,Acne Conglobata,2015,2016,3,,
D000069319,Type IV Secretion Systems,2015,2016,40,,
D000069320,Type V Secretion Systems,2015,2016,26,,
D000069321,Mitochondrial Replacement Therapy,2015,2016,14,,
D000069322,Self Expandable Metallic Stents,2015,2016,145,,
D000069336,Neurovascular Coupling,2015,2016,59,,
D000069337,Fused Kidney,2015,2016,27,,
D000069338,Neuropathology,2015,2016,35,,
D000069339,Trachelectomy,2015,2016,24,,
D000069340,Deprescriptions,2015,2016,22,,
D000069341,Transitional Care,2015,2016,128,,
D000069342,Medical Overuse,2015,2016,263,,
D000069343,Bone-Implant Interface,2015,2016,118,,
D000069347,Erlotinib Hydrochloride,2015,2016,2959,,
D000069348,Quetiapine Fumarate,2015,2016,2346,,
D000069349,Linezolid,2015,2016,2325,,
D000069350,Telerehabilitation,2015,2016,47,,
D000069356,Tympanocentesis,2015,2016,0,New Introduced,
D000069376,Type VI Secretion Systems,2015,2016,48,,
D000069377,Type VII Secretion Systems,2015,2016,8,,
D000069396,Mitochondrial Ribosomes,2015,2016,10,,
D000069416,Intravital Microscopy,2015,2016,113,,
D000069436,Toxicological Phenomena,2015,2016,4,,
D000069437,Pharmacological Phenomena,2015,2016,117,,
D000069438,Ezetimibe,2015,2016,1524,,
D000069439,Dasatinib,2015,2016,1405,,
D000069442,Natalizumab,2015,2016,1112,,
D000069443,Heptavalent Pneumococcal Conjugate Vaccine,2015,2016,1009,,
D000069444,Omalizumab,2015,2016,1021,,
D000069445,Atomoxetine Hydrochloride,2015,2016,950,,
D000069446,Atazanavir Sulfate,2015,2016,839,,
D000069447,Tiotropium Bromide,2015,2016,883,,
D000069448,Denosumab,2015,2016,904,,
D000069449,Cinacalcet Hydrochloride,2015,2016,718,,
D000069450,Liraglutide,2015,2016,850,,
D000069451,Long Term Adverse Effects,2015,2016,81,,
D000069452,Pathogen-Associated Molecular Pattern Molecules,2015,2016,71,,
D000069453,Ultrasonic Waves,2015,2016,370,,
D000069454,Darunavir,2015,2016,632,,
D000069455,Palivizumab,2015,2016,574,,
D000069456,Silent Mutation,2015,2016,29,,
D000069457,Population Forecast,2015,2016,8,,
D000069458,Ranolazine,2015,2016,540,,
D000069459,"Teas, Herbal",2015,2016,30,,
D000069460,"Teas, Medicinal",2015,2016,4,,
D000069461,Bendamustine Hydrochloride,2015,2016,483,,
D000069462,Dimethyl Fumarate,2015,2016,355,,
D000069463,Olive Oil,2015,2016,3882,,
D000069464,Solifenacin Succinate,2015,2016,284,,
D000069465,Febuxostat,2015,2016,265,,
D000069466,Red Meat,2015,2016,339,,
D000069467,Fecal Microbiota Transplantation,2015,2016,137,,
D000069468,Desvenlafaxine Succinate,2015,2016,235,,
D000069469,Medical-Surgical Nursing,2015,2016,23,,
D000069470,Venlafaxine Hydrochloride,2015,2016,2209,,
D000069471,Neurosurgeons,2015,2016,43,,
D000069472,Colesevelam Hydrochloride,2015,2016,183,,
D000069473,Dose Hypofractionation,2015,2016,75,,
D000069474,Sofosbuvir,2015,2016,431,,
D000069475,Re-Irradiation,2015,2016,34,,
D000069476,Linagliptin,2015,2016,219,,
D000069478,Lisdexamfetamine Dimesylate,2015,2016,175,,
D000069479,"Buprenorphine, Naloxone Drug Combination",2015,2016,157,,
D000069480,"Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",2015,2016,149,,
D000069497,Origin of Life,2015,2016,2078,,
D000069499,"Ezetimibe, Simvastatin Drug Combination",2015,2016,110,,
D000069501,Abiraterone Acetate,2015,2016,157,,
D000069502,"Budesonide, Formoterol Fumarate Drug Combination",2015,2016,101,,
D000069503,Vilazodone Hydrochloride,2015,2016,77,,
D000069516,International Law,2015,2016,8,,
D000069520,Blogs,2015,2016,0,New Introduced,
D000069537,Adult Day Care Centers,2015,2016,20,,
D000069544,Infectious Encephalitis,2015,2016,31,,
D000069545,"Elvitegravir, Cobicistat, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",2015,2016,15,,
D000069547,Cobicistat,2015,2016,71,,
D000069549,Ustekinumab,2015,2016,454,,
D000069550,Machine Learning,2015,2016,1070,,
D000069551,Environmental Psychology,2015,2016,4,,
D000069552,Rivaroxaban,2015,2016,1475,,
D000069553,Supervised Machine Learning,2015,2016,69,,
D000069555,"Injection, Intratympanic",2015,2016,43,,
D000069557,Travoprost,2015,2016,408,,
D000069558,Unsupervised Machine Learning,2015,2016,27,,
D000069559,Loteprednol Etabonate,2015,2016,104,,
D000069576,Health Equity,2015,2016,126,,
D000069577,Morcellation,2015,2016,72,,
D000069578,Waterborne Diseases,2015,2016,41,,
D000069579,Ranibizumab,2015,2016,2177,,
D000069580,Bimatoprost,2015,2016,433,,
D000069581,Exposure to Violence,2015,2016,108,,
D000069582,Eszopiclone,2015,2016,92,,
D000069583,Pregabalin,2015,2016,1372,,
D000069584,Unilateral Breast Neoplasms,2015,2016,44,,
D000069585,Filgrastim,2015,2016,1599,,
D000069586,Adult Survivors of Child Adverse Events,2015,2016,99,,
D000069590,Round Ligaments,2015,2016,8,,
D000069592,Round Ligament of Liver,2015,2016,1,,
D000069593,Round Ligament of Femur,2015,2016,3,,
D000069594,Abatacept,2015,2016,2405,,
D000069597,Presenteeism,2015,2016,55,,
D000069599,Crop Production,2015,2016,82,,
D000069600,Plant Breeding,2015,2016,305,,
D000069601,Crop Protection,2015,2016,14,,
D000069602,Working Poor,2015,2016,5,,
D000069603,Sevelamer,2015,2016,565,,
D000069604,Dabigatran,2015,2016,1817,,
D000069605,Olopatadine Hydrochloride,2015,2016,244,,
D000069616,Simeprevir,2015,2016,199,,
D000069636,Pedestrians,2015,2016,112,,
D000069756,Undocumented Immigrants,2015,2016,40,,
D000069796,"Adipose Tissue, Beige",2016,2017,0,New Introduced,
D000069797,"Adipocytes, Beige",2016,2017,0,New Introduced,
D000069816,SEC Translocation Channels,2016,2017,1264,,
D000069836,Degloving Injuries,2016,2017,0,New Introduced,
D000069856,Staghorn Calculi,2016,2017,0,New Introduced,
D000069877,Struvite,2016,2017,836,,
D000069896,Transcription Activator-Like Effector Nucleases,2016,2017,0,New Introduced,
D000069916,Endoscopic Mucosal Resection,2016,2017,0,New Introduced,
D000069956,Chocolate,2016,2017,0,New Introduced,
D000069976,Bacillus licheniformis,2016,2017,0,New Introduced,
D000069977,Bacillus amyloliquefaciens,2016,2017,0,New Introduced,
D000069978,Bifidobacterium longum,2016,2017,0,New Introduced,
D000069979,Bacillus pumilus,2016,2017,0,New Introduced,
D000069980,Lactobacillus paracasei,2016,2017,0,New Introduced,
D000069981,Escherichia coli O104,2016,2017,0,New Introduced,
D000069982,Bifidobacterium animalis,2016,2017,0,New Introduced,
D000069983,Saccharomyces boulardii,2016,2017,0,New Introduced,
D000069984,Bifidobacterium breve,2016,2017,0,New Introduced,
D000069985,Bifidobacterium bifidum,2016,2017,0,New Introduced,
D000069996,Lactobacillus salivarius,2016,2017,0,New Introduced,
D000069997,Mastic Resin,2016,2017,98,,
D000069998,Lactobacillus gasseri,2016,2017,0,New Introduced,
D000069999,Lactobacillus johnsonii,2016,2017,0,New Introduced,
D000070,Acebutolol,1974,1975,838,,
D000070000,Bacillus coagulans,2016,2017,0,New Introduced,
D000070001,Streptococcus salivarius,2016,2017,0,New Introduced,
D000070002,Propionibacterium freudenreichii,2016,2017,0,New Introduced,
D000070003,Lactobacillus crispatus,2016,2017,0,New Introduced,
D000070004,Ocimum sanctum,2016,2017,0,New Introduced,
D000070005,Bifidobacterium adolescentis,2016,2017,0,New Introduced,
D000070006,Pediococcus pentosaceus,2016,2017,0,New Introduced,
D000070007,Leuconostoc mesenteroides,2016,2017,0,New Introduced,
D000070016,Pediococcus acidilactici,2016,2017,0,New Introduced,
D000070017,Pediocins,2016,2017,122,,
D000070018,Lactobacillus pentosus,2016,2017,0,New Introduced,
D000070019,Bacillus clausii,2016,2017,0,New Introduced,
D000070036,Faecalibacterium,2016,2017,0,New Introduced,
